unique_key,created_date,complaint_type,borough,latitude,longitude
45110783,2019-12-07T05:00:00Z,Food Poisoning,MANHATTAN,40.807876808109384,-73.94574690474205
45174178,2019-12-16T05:00:00Z,Food Poisoning,BROOKLYN,40.678211994284815,-73.97923001769833
51109245,2021-07-05T04:00:00Z,Food Poisoning,MANHATTAN,40.7594053233597,-73.96958132313829
45504380,2020-01-29T05:00:00Z,Food Poisoning,BRONX,40.875170812200984,-73.87949470815599
51297700,2021-07-22T04:00:00Z,Food Poisoning,BROOKLYN,40.63832432098613,-74.03440257827687
51473385,2021-08-09T04:00:00Z,Food Poisoning,BROOKLYN,40.67016358999827,-73.93376468726338
51640714,2021-08-25T04:00:00Z,Food Poisoning,MANHATTAN,40.73632051113482,-74.00094179706639
51759369,2021-09-05T04:00:00Z,Food Poisoning,MANHATTAN,40.803906085585346,-73.95412656002999
51799457,2021-09-08T04:00:00Z,Food Poisoning,QUEENS,40.71278335642703,-73.78328980140648
51839867,2021-09-12T04:00:00Z,Food Poisoning,BRONX,40.859432167539104,-73.88709686131521
52084273,2021-10-04T04:00:00Z,Food Poisoning,BROOKLYN,40.70991438547371,-73.96852541837482
52566166,2021-11-19T05:00:00Z,Food Poisoning,MANHATTAN,40.73986113764349,-73.995016510095
52598251,2021-11-22T05:00:00Z,Food Poisoning,QUEENS,40.74986914506844,-73.86272585671627
52761797,2021-12-10T05:00:00Z,Food Poisoning,BRONX,40.8447339680093,-73.83074590341255
54078881,2022-05-05T02:21:23Z,Food Poisoning,QUEENS,40.587538730941475,-73.81140122208721
54080913,2022-05-05T01:24:39Z,Food Poisoning,BRONX,40.862085862946806,-73.901614792526
54085113,2022-05-05T02:24:33Z,Food Poisoning,BROOKLYN,40.592226146491804,-73.94031593043269
41292273,2018-12-28T19:07:13Z,Food Poisoning,BROOKLYN,40.63903851367783,-73.95890598984705
53303212,2022-02-08T05:00:00Z,Food Poisoning,MANHATTAN,40.731224884955836,-73.98225876593267
