Date, AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
1/01/2023,38,PM2.5,EAST SYRACUSE,36-067-1015,AQS,54,9,31.2,1/01/2000,1/01/2006
1/02/2023,48,PM2.5,EAST SYRACUSE,36-067-1015,AQS,43,12,32.4,1/02/2017,1/02/2006
1/03/2023,49,PM2.5,EAST SYRACUSE,36-067-1015,AQS,35,19,28.6,1/03/2011,1/03/2005
1/04/2023,22,PM2.5,EAST SYRACUSE,36-067-1015,AQS,52,24,28.4,1/04/2013,1/04/2007
1/05/2023,33,PM2.5,EAST SYRACUSE,36-067-1015,AQS,64,22,33.4,1/05/2002,1/05/2007
1/06/2023,33,PM2.5,EAST SYRACUSE,36-067-1015,AQS,67,19,31.2,1/06/2003,1/06/2000
1/07/2023,30,PM2.5,EAST SYRACUSE,36-067-1015,AQS,77,29,38.2,1/07/2001,1/07/2015
1/08/2023,28,PM2.5,EAST SYRACUSE,36-067-1015,AQS,38,22,32.6,1/08/2014,1/08/2001
1/09/2023,50,PM2.5,EAST SYRACUSE,36-067-1015,AQS,55,21,30.2,1/09/2003,1/09/2002
1/10/2023,28,Ozone,FULTON,36-075-0003,AQS,65,25,33.4,1/10/2000,1/10/2002
1/11/2023,40,PM2.5,EAST SYRACUSE,36-067-1015,AQS,61,25,34,1/11/2006,1/11/2001
1/12/2023,39,PM2.5,EAST SYRACUSE,36-067-1015,AQS,51,19,34.6,1/12/2007,1/12/2004
01/13/2023,31,Ozone,FULTON,36-075-0003,AirNow,91,11,29.2,01/13/2001,01/13/2016
01/14/2023,31,Ozone,FULTON,36-075-0003,AQS,64,21,29.2,01/14/2010,01/14/2015
01/15/2023,31,Ozone,FULTON,36-075-0003,AQS,59,14,49.6,01/15/2019,01/15/2001
01/16/2023,33,PM2.5,EAST SYRACUSE,36-067-1015,AQS,52,26,40,01/16/2018,01/16/2014
01/17/2023,35,PM2.5,EAST SYRACUSE,36-067-1015,AQS,63,25,39.8,01/17/2010,01/17/2012
01/18/2023,25,PM2.5,EAST SYRACUSE,36-067-1015,AQS,50,18,34.2,01/18/2015,01/18/2001
01/19/2023,20,PM2.5,EAST SYRACUSE,36-067-1015,AQS,94,21,33.2,01/19/2001,01/19/2017
01/20/2023,25,Ozone,FULTON,36-075-0003,AQS,54,25,32.2,01/20/2002,01/20/2009
01/21/2023,28,Ozone,EAST SYRACUSE,36-067-1015,AQS,62,24,37.6,01/21/2018,01/21/2016
01/22/2023,28,PM2.5,EAST SYRACUSE,36-067-1015,AQS,72,28,40,01/22/2009,01/22/2014
01/23/2023,33,PM2.5,EAST SYRACUSE,36-067-1015,AQS,55,21,34.4,01/23/2010,01/23/2004
01/24/2023,34,PM2.5,EAST SYRACUSE,36-067-1015,AQS,66,23,39.2,01/24/2015,01/24/2002
01/25/2023,27,Ozone,EAST SYRACUSE,36-067-1015,AQS,83,21,34.4,01/25/2000,01/25/2011
01/26/2023,30,Ozone,FULTON,36-075-0003,AQS,36,22,31.6,01/26/2019,01/26/2012
01/27/2023,31,Ozone,EAST SYRACUSE,36-067-1015,AQS,58,27,31.2,01/27/2011,01/27/2008
01/28/2023,33,Ozone,EAST SYRACUSE,36-067-1015,AQS,66,25,33.6,01/28/2003,01/28/2006
01/29/2023,32,Ozone,EAST SYRACUSE,36-067-1015,AQS,78,19,34.4,01/29/2002,01/29/2013
01/30/2023,30,Ozone,FULTON,36-075-0003,AQS,59,18,34.4,01/30/2003,01/30/2002
01/31/2023,33,Ozone,FULTON,36-075-0003,AQS,63,25,35.2,01/31/2000,01/31/2002
2/01/2023,37,Ozone,FULTON,36-075-0003,AQS,56,23,34.2,2/01/2014,2/01/2007
2/02/2023,40,Ozone,FULTON,36-075-0003,AQS,58,23,38,2/02/2003,2/02/2008
2/03/2023,35,Ozone,FULTON,36-075-0003,AQS,70,29,41,2/03/2008,2/03/2000
2/04/2023,31,Ozone,FULTON,36-075-0003,AQS,53,25,35.4,2/04/2014,2/04/2005
2/05/2023,35,Ozone,EAST SYRACUSE,36-067-1015,AQS,63,24,36,2/05/2011,2/05/2008
2/06/2023,46,PM2.5,EAST SYRACUSE,36-067-1015,AQS,64,25,33.2,2/06/2001,2/06/2019
2/07/2023,38,PM2.5,EAST SYRACUSE,36-067-1015,AQS,66,29,48.8,2/07/2019,2/07/2012
2/08/2023,50,PM2.5,EAST SYRACUSE,36-067-1015,AQS,62,21,42.2,2/08/2015,2/08/2005
2/09/2023,53,PM2.5,EAST SYRACUSE,36-067-1015,AQS,78,28,39.8,2/09/2000,2/09/2008
2/10/2023,32,Ozone,FULTON,36-075-0003,AQS,74,26,45.8,2/10/2018,2/10/2012
2/11/2023,33,Ozone,FULTON,36-075-0003,AQS,63,30,43.2,2/11/2011,2/11/2014
2/12/2023,37,PM2.5,EAST SYRACUSE,36-067-1015,AQS,47,30,38,2/12/2017,2/12/2004
02/13/2023,37,Ozone,FULTON,36-075-0003,AQS,44,31,34.8,02/13/2011,02/13/2001
02/14/2023,39,Ozone,FULTON,36-075-0003,AQS,48,24,39,02/14/2018,02/14/2016
02/15/2023,43,Ozone,EAST SYRACUSE,36-067-1015,AQS,56,30,34.4,02/15/2012,02/15/2002
02/16/2023,36,PM2.5,EAST SYRACUSE,36-067-1015,AQS,63,20,36.8,02/16/2006,02/16/2012
02/17/2023,34,Ozone,FULTON,36-075-0003,AQS,68,31,42.2,02/17/2015,02/17/2016
02/18/2023,37,Ozone,FULTON,36-075-0003,AQS,58,33,44,02/18/2015,02/18/2010
02/19/2023,35,Ozone,EAST SYRACUSE,36-067-1015,AQS,60,30,37.2,02/19/2014,02/19/2003
02/20/2023,36,Ozone,FULTON,36-075-0003,AQS,57,23,37.4,02/20/2003,02/20/2004
02/21/2023,37,PM2.5,EAST SYRACUSE,36-067-1015,AQS,66,25,38.2,02/21/2000,02/21/2016
02/22/2023,32,Ozone,FULTON,36-075-0003,AQS,66,27,43.2,02/22/2006,02/22/2018
02/23/2023,38,PM2.5,EAST SYRACUSE,36-067-1015,AQS,50,30,37,02/23/2017,02/23/2016
02/24/2023,39,Ozone,FULTON,36-075-0003,AQS,103,24,36.4,02/24/2000,02/24/2016
02/25/2023,36,Ozone,FULTON,36-075-0003,AQS,49,28,36.8,02/25/2008,02/25/2000
02/26/2023,52,PM2.5,EAST SYRACUSE,36-067-1015,AQS,59,32,37,02/26/2003,02/26/2015
02/27/2023,40,Ozone,FULTON,36-075-0003,AQS,61,32,37.2,02/27/2001,02/27/2006
02/28/2023,37,Ozone,FULTON,36-075-0003,AQS,67,31,47.4,02/28/2016,02/28/2000
3/01/2023,36,Ozone,FULTON,36-075-0003,AQS,83,30,42.8,3/01/2003,3/01/2002
3/02/2023,50,PM2.5,EAST SYRACUSE,36-067-1015,AQS,62,29,43.8,3/02/2001,3/02/2012
3/03/2023,40,Ozone,FULTON,36-075-0003,AQS,48,32,37.6,3/03/2019,3/03/2015
3/04/2023,37,Ozone,FULTON,36-075-0003,AQS,77,31,42.2,3/04/2004,3/04/2014
3/05/2023,40,Ozone,FULTON,36-075-0003,AQS,61,33,37,3/05/2005,3/05/2002
3/06/2023,40,Ozone,FULTON,36-075-0003,AQS,74,16,39.6,3/06/2002,3/06/2006
3/07/2023,42,Ozone,FULTON,36-075-0003,AQS,80,29,42,3/07/2010,3/07/2016
3/08/2023,39,Ozone,FULTON,36-075-0003,AQS,64,25,46,3/08/2010,3/08/2004
3/09/2023,36,Ozone,FULTON,36-075-0003,AQS,80,18,47.4,3/09/2010,3/09/2004
3/10/2023,34,Ozone,FULTON,36-075-0003,AQS,80,31,41.8,3/10/2010,3/10/2000
3/11/2023,37,Ozone,FULTON,36-075-0003,AQS,90,28,40.8,3/11/2010,3/11/2000
3/12/2023,38,Ozone,FULTON,36-075-0003,AQS,56,17,39.8,3/12/2006,3/12/2004
03/13/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,51,27,40.2,03/13/2019,03/13/2002
03/14/2023,38,Ozone,FULTON,36-075-0003,AQS,61,33,41.2,03/14/2019,03/14/2000
03/15/2023,45,Ozone,FULTON,36-075-0003,AQS,68,27,39.6,03/15/2002,03/15/2016
03/16/2023,47,Ozone,EAST SYRACUSE,36-067-1015,AQS,87,31,39.6,03/16/2003,03/16/2016
03/17/2023,43,Ozone,EAST SYRACUSE,36-067-1015,AQS,90,37,40.8,03/17/2003,03/17/2000
03/18/2023,42,Ozone,FULTON,36-075-0003,AQS,74,34,41.6,03/18/2003,03/18/2016
03/19/2023,44,Ozone,FULTON,36-075-0003,AQS,58,32,44.8,03/19/2017,03/19/2002
03/20/2023,44,Ozone,EAST SYRACUSE,36-067-1015,AQS,54,34,44.2,03/20/2001,03/20/2003
03/21/2023,47,PM2.5,EAST SYRACUSE,36-067-1015,AQS,49,31,42.6,03/21/2017,03/21/2003
03/22/2023,48,PM2.5,EAST SYRACUSE,36-067-1015,AQS,77,27,38,03/22/2007,03/22/2004
03/23/2023,37,Ozone,FULTON,36-075-0003,AQS,54,30,38.4,03/23/2001,03/23/2015
03/24/2023,37,Ozone,FULTON,36-075-0003,AQS,52,32,42.2,03/24/2006,03/24/2014
03/25/2023,41,Ozone,FULTON,36-075-0003,AQS,55,34,41,03/25/2000,03/25/2004
03/26/2023,45,Ozone,EAST SYRACUSE,36-067-1015,AQS,58,35,44.2,03/26/2015,03/26/2006
03/27/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,50,30,39.2,03/27/2000,03/27/2004
03/28/2023,41,Ozone,FULTON,36-075-0003,AQS,58,29,37,03/28/2003,03/28/2018
03/29/2023,46,Ozone,EAST SYRACUSE,36-067-1015,AQS,71,27,38.8,03/29/2001,03/29/2018
03/30/2023,44,Ozone,FULTON,36-075-0003,AQS,84,32,46.6,03/30/2006,03/30/2009
