property_type,address,city,state,zip_code,price,beds,baths,area,lot_size,year_built,hoa_month
Single Family Residential,377 Millard Hill Rd,Newfield,NY,14867,340000,2,3,1864,4.5,1999,
Single Family Residential,113 Pinewood Pl,Ithaca,NY,14850,390000,4,3,3252,0.3399908172635445,1988,
Single Family Residential,373 Hunt Hill Rd,Ithaca,NY,14850,625500,2,3,1704,65,1988,
Single Family Residential,920 Hector St,Ithaca,NY,14850,246600,2,1.5,1264,0.21000918273645547,1953,
Multi-Family (5+ Unit),17 W Main St,Dryden,NY,13053,172000,,,2644,0.13000459136822773,1870,
Single Family Residential,204 Pennsylvania Ave,Ithaca,NY,14850,205000,2,1,820,0.23999081726354454,1932,
Single Family Residential,812 Davis Rd,Lansing,NY,14882,230000,5,2,2900,5.669995408631772,1850,
Single Family Residential,46 Groton City Rd,Groton,NY,13073,185000,3,2,1638,11.5,1983,
Single Family Residential,11 Yellow Barn Rd,Freeville,NY,13068,246000,5,2,2364,1.0100091827364555,1985,
Multi-Family (2-4 Unit),405 Main St Unit ETNA,Freeville,NY,13068,310000,6,4,2256,1.4600091827364554,1991,
Single Family Residential,1885 Ellis Hollow Rd,Ithaca,NY,14850,350000,3,2.5,2016,1.3300045913682277,1984,
Single Family Residential,106 Briarwood Dr,Ithaca,NY,14850,446500,5,4,2882,0.35,2002,
Single Family Residential,1922 Slaterville Rd,Ithaca,NY,14850,290000,3,1,1246,0.9839990817263544,1961,
Townhouse,135 Holly Creek Ln,Ithaca,NY,14850,114000,2,1.5,1134,0.03000459136822773,2014,
Single Family Residential,816 Hanshaw Rd,Ithaca,NY,14850,375000,2,2,1720,0.38000459136822773,1931,
Single Family Residential,107 Overlook Rd,Ithaca,NY,14850,650000,4,2.5,2782,0.9300045913682278,1917,
Single Family Residential,118 Terrace View Dr,Ithaca,NY,14850,381000,3,2.5,1874,0.21999540863177228,1986,
Single Family Residential,119 Birchwood Dr,Ithaca,NY,14850,405000,5,3,2800,0.28999081726354453,1990,
Single Family Residential,201 Rosehill Rd,Ithaca,NY,14850,411000,4,2,2353,0.3600091827364555,1963,
Single Family Residential,14 Lisa Ln,Ithaca,NY,14850,670000,3,2.5,2736,0.6,1980,
Single Family Residential,134 Lexington Dr,Ithaca,NY,14850,570000,4,2.5,2500,0.3399908172635445,1987,
Townhouse,111 Nor Way,Ithaca,NY,14850,550000,3,3.5,2600,0.2,2021,250
Townhouse,109 Nor Way,Ithaca,NY,14850,548500,3,3.5,2600,0.11000918273645546,2021,250
Single Family Residential,106 Westfield Dr,Ithaca,NY,14850,211500,3,2,1452,0.23000459136822773,1870,
Single Family Residential,109 Harvard Pl,Ithaca,NY,14850,510000,6,3,2690,0.11000918273645546,1900,
Mobile/Manufactured Home,205 Pauls Way,Ithaca,NY,14850,45000,2,2,1000,0.02295684113865932,1989,
Single Family Residential,220 Bundy Rd,Ithaca,NY,14850,235000,3,2,800,0.85,1962,
Single Family Residential,5536 Iradell,Ithaca,NY,14850,275000,3,1,1583,0.9,1900,
Single Family Residential,49 Davis Rd,Lansing,NY,14882,355000,3,2.5,3017,1.1300045913682277,1977,
Single Family Residential,593 Auburn Rd,Lansing,NY,13073,177000,1,1,864,4.039990817263544,2002,
Single Family Residential,1006 Ridge Road (rt 34b),Lansing,NY,14882,190000,3,1,1120,1.1300045913682277,1968,
Single Family Residential,130 Forest Home Dr,Ithaca,NY,14850,400000,4,5,4578,0.16999540863177226,1980,
Single Family Residential,492 Five Mile Dr,Ithaca,NY,14850,382500,3,2.5,1812,0.6399908172635446,2005,
Single Family Residential,111 Pineview Ter,Ithaca,NY,14850,397000,3,2.5,1750,0.41999540863177226,1974,
Single Family Residential,214 Fallview Ter,Ithaca,NY,14850,355000,3,1.5,1716,0.25,1958,
Single Family Residential,209 Wait Ave,Ithaca,NY,14850,420000,5,4,2622,0.28000459136822775,1900,
Single Family Residential,410 Lake Ave,Ithaca,NY,14850,122080,2,1.5,1044,0.03000459136822773,2017,
Single Family Residential,105 Utica St,Ithaca,NY,14850,354000,3,1.5,1584,0.06999540863177227,1860,
Multi-Family (2-4 Unit),210 S Plain St #212,Ithaca,NY,14850,260000,3,2,1500,0.06363636363636363,1910,
Single Family Residential,246 Valley Rd,Ithaca,NY,14850,536000,3,1.5,1678,0.27899449035812673,1936,
Single Family Residential,1007 E State St,Ithaca,NY,14850,319900,3,1,1560,0.16088154269972452,1910,
Single Family Residential,102 Treva Ave,Ithaca,NY,14850,330000,2,1.5,1376,0.11400367309458219,1898,
Single Family Residential,612 S Plain St,Ithaca,NY,14850,355000,3,1.5,1292,0.16999540863177226,1910,
Townhouse,341 Strawberry Hill Cir,Ithaca,NY,14850,322200,2,2,1242,0.28000459136822775,1987,
Single Family Residential,19 Mill Rd,Berkshire,NY,13736,370000,4,2,2912,2,1988,
Single Family Residential,312 Smith Rd,Newfield,NY,14867,257000,3,2,1300,2.3899908172635445,1984,
Single Family Residential,2741 Spencer Rd,Danby,NY,14883,135500,4,1,1000,0.5,1960,
Single Family Residential,369 Level Green Rd,Berkshire,NY,13736,370000,6,2.5,4200,9,1864,
Single Family Residential,88 Gunderman Rd,Ithaca,NY,14850,555500,3,2.5,3254,32.7,1981,
Single Family Residential,261 Chipman Corners Rd,Groton,NY,13073,399000,3,2.5,2288,6.460009182736456,2012,
Single Family Residential,12 Berkshire Dr,Dryden,NY,13053,162000,2,1.5,1666,0.3443526170798898,1966,
Multi-Family (2-4 Unit),316 Cascadilla St,Ithaca,NY,14850,210000,2,2,1454,0.03000459136822773,1860,
Single Family Residential,420 W Court St,Ithaca,NY,14850,591000,4,3,2699,,1878,
Condo/Co-op,201 Wildflower Dr,Ithaca,NY,14850,310200,2,1,1080,,1974,
Single Family Residential,35 Pleasant Valley Rd,Groton,NY,13073,328000,4,3,3576,2.2899908172635444,2002,
Townhouse,46 Nor Way,Ithaca,NY,14850,525000,3,3.5,2540,0.10996326905417815,2011,250
Single Family Residential,8 Jon Stone Cir,Ithaca,NY,14850,725000,4,4.5,2512,0.47899449035812675,2016,
Single Family Residential,407 W State St,Ithaca,NY,14850,299000,4,2,1840,0.03999081726354454,1910,
Mobile/Manufactured Home,12 Jake St,Ithaca,NY,14850,34500,2,1,840,0.01999540863177227,1984,
Condo/Co-op,206 Taughannock Blvd,Ithaca,NY,14850,370000,2,2,1637,0.31000918273645545,2015,
Single Family Residential,345 N Buck Hill Rd,Trumansburg,NY,14886,410000,3,2,1940,1.9,2012,
Single Family Residential,1198 Warren Rd,Ithaca,NY,14850,147400,2,1,924,0.44699265381083564,1941,
Single Family Residential,112 Pinewood Pl,Ithaca,NY,14850,405000,3,3,2071,0.3443526170798898,1976,
Single Family Residential,143 Burleigh Dr,Ithaca,NY,14850,440000,3,2.5,1805,0.45,1970,
Single Family Residential,826 Ridge Rd,Lansing,NY,14882,340000,2,2,2004,4.089990817263544,1982,
Single Family Residential,12 Perry Ln,Ithaca,NY,14850,851000,4,4.5,4090,1.5399908172635446,1993,
Single Family Residential,314 Old Gorge Rd,Ithaca,NY,14850,660000,5,3.5,3425,0.7,2012,
